Category,Questions,Answers
Housing and Dining,When will pupil find out about their housing assignments ?,"Returning students ( all students other than new , first-year students ) who select a bed space during the room selection process will receive their room assignment and roommate ( s ) ' name ( s ) during the spring semester . Students who apply for housing outside of the selection times ( ex . Students return for the spring semester or who missed the application deadlines ) will be assigned by our office . New first-year students will select their rooms in June . New first-year students also have the option of being assigned to a room by our office after the selection process has ended ."
Housing and Dining,How long are the beds  What kind of sheets will I need ?,"All the beds in the residence halls are xl twin beds ( 36 inches wide by 80 inches long ) . You will need extra long ( 80 ''  twin bed sheets , which are available at retail stores ."
Housing and Dining,Are PET allowed ?,"No . With the exception of documented service animals , pets are not permitted in SmittyStevens Housing ."
Housing and Dining,Can I bunk my bed ?,"Yes , our beds are designed to be bunked . If you need assistance bunking your bed , please contact your Resident Assistant or visit the Residential and Dining Services Office located on the 2nd floor of Harries Tower , part of the UCC . Lofts are not permitted ."
Housing and Dining,Can furniture be removed from the room and replaced with my own ?,"No , the furniture bringhomethebacon may not be removed from the rooms . Non-Stevens furniture is not permitted ."
Housing and Dining,How do I get back into my room if I am locked out and do not have my key ?,Contact the Harries Tower front desk to report a lockout . We will then have the lock core changed . You and your roommate ( s ) will then be contacted to pick up your new keys  The person who reported the loss / does not return a key will be assessed a charge on their student account .
Housing and Dining,What does a student do if they have a roommate problems ?,"We encourage all students to complete the online roommate agreement within two weeks of a new assignment . Residents can email ResEd @ Stevens.edu or connect with their RA for assistance with roommate concerns . We expect students to respectfully speak with their roommates and communicate in an effort to resolve any conflict . They may also contact their Resident Assistant ( RA ) or the Resident Director ( RD ) for their respective building , who may help mediate and attempt to resolve any roommate concerns ."
Housing and Dining,What does a student do if they do not like their room assignment ?,"Students should first reach out to their RA to share their concerns . The RA will assist with problem-solving if there are roommate concerns or facilities repairs needed . Should an effort be made without resolution , room changes are an option after the second week of each semester based on availability . Until a formal room change is granted , students should remain in their assigned room . Students may submit a Room Change Request Form which can be found through the myStevens Housing/Dining portal . A staff member from the Office or Residential & Dining Services will contact the student to inform them of potential spaces available ."
Housing and Dining,Can I have an overnight guest ?,"Residents must obtain their roommates ’ permission before having a guest . Residential students may only have an overnight guest for two days in any seven-day period , and no more than five days in any thirty-day period . Students will be held responsible for the actions of any guests . Overnight guests must be registered with the Office of Residential and Dining Services using the Guest Registration Form that can embody found in the ‘ Forms ’ section of Roompact ."
Housing and Dining,How often are rooms cleaned ,"Resident rooms are cleaned before arrival . Students are responsible for cleaning their own rooms throughout the year . Housekeeping is responsible for cleaning the public areas ( hallways , common area kitchens , etc . ) , public restrooms , and community bathrooms . Students with bathroom facilities in their individual rooms are responsible for cleaning their own bathrooms ."
Housing and Dining,Where can students do their laundry when life on campus ?,Each on-campus residence hall has free laundry with washers and dryers in the building . Stevens Leased Housing has laundry service in the building or apartment .
Housing and Dining,Are pupil allowed to have a refrigerator and microwave in the room ?,"Yes ; however it is highly suggested that you do not purchase your own . We recommend that you rent a MicroFridge through our rental program . ( click here for information around renting through Stevens ) . RequirementsA microwave can not exceed 700 watts and a compact refrigerator can not exceed 4.0 cubic feet . 1 microwave per room1 refrigerator per room Full-sized refrigerators and microwaves are provided in the suites in 600 River Terrace , 604 River Terrace , and all Stevens Leased Housing apartments.Microwaves are provided in the common area kitchens in all corridor style buildings ( Jonas , Castle Point Hall , Palmer , Davis , Humphreys ) ."
Housing and Dining,How does the meal plan work ,Stevens offers meal plans for residential and commuter students . Plans are assigned by class year and building location . Please visit ourHousing and Dining Rates page for more information . Each meal plan has a set amount of Grubhub Dining Dollars that can be used wherever the student is on- or off-campus .
Housing and Dining,What are DuckBills ?,"DuckBills are an add on to the meal plan . They are a cash equivalent that can be utilized at any of our food or vending locations , Campus Bookstore or at select off-campus locations . DuckBills are valued At one DuckBill = one dollar and can be viewed and/or replenished at any time by going toOnline Card Office ."
Housing and Dining,Can money be added to my Duck Bill account ,Yes  You can add cash to the VTS machine in the library or visit theOnline Card Office to use a debit/credit card .
Housing and Dining,Is the food plan available during holidays and breaks ?,There is no food service during Thanksgiving and Winter breaks . There may be no meal plan service or reduced services and hours for the meal plans during Spring Break . Students may purpose their Grubhub Dollars or DuckBills at off-campus restaurants . View a complete list of off-campus vendors that accept duckbills .
Housing and Dining,What items should you bring to college with you ?,For a full list please click here .
Housing and Dining,What items are provided in the residence manorhall rooms ?,"Every student is provided with the following furniture : Extra-long twin bed/mattress with ~30 '' of clearance underneathDesk , desk hutch with light , desk chair ( 2 ) - two drawer dressers that can be stacked to make one 4 drawer dresserWardrobe or built-in closet . 600 River Terrace , 604 River Terrace , Davis , Humphreys , and CPH all have wardrobe . Palmer , and Jonas have built-in closets.River Terrace includes a love seat , armchairs , and dining table with chairs.Trash cans are provided for all rooms and common areas.Students are not permitted to bring any outside furniture into the residence halls ."
Housing and Dining,Does Stevens provide toiletry ?,"Toilet paper , paper towels , and hand soap are provided in buildings that have common area bathrooms  Davis , Humphreys , and Palmer ) . Students living in buildings with private bathrooms ( Castle Point Hall , Jonas , 600 River Terrace , 604 River Terrace ) are responsible for bringing their own toilet paper , paper towels , and hand soap ) . We provide shower curtains for all locations , including replacements , if needed ."
Housing and Dining,How can I request deoxyadenosinemonophosphate room change as a current student ?,Room change requests can be made by going to your MyStevens and completing the room change request under the Housing & Dining section .
Housing and Dining,How arse I cancel my housing as a current student ?,"In order to request a housing cancellation , you must log into MyStevens , click the Housing/Dining portalvein , and then submit the Housing Cancellation Request ."
Housing and Dining,What do I do if there 's something broken in my room ?,"On-campus work orders can be submitted by logging into your myStevens portal and clicking on the `` Facilities Work Order '' link . Stevens Leased Housing work orders can be submitted through the Housing/Dining portal . By using the work order portal , students are able to track the progress of the work order . By using the work order portals students are able to track the progress of the work order ."
Housing and Dining,What happens if students ' possession are destroyed or stolen ?,Stevens is not responsible for student belonging . If you have items damaged or stolen you should file a police report with Stevens Campus Police and check with your insurance company about coverage .
Housing and Dining,Should students get insurance for belongings brought to campus ?,Yes . Stevens is not liable for loss of or damage to personal belongings . We suggest that you check with your parent or guardians  homeowner ’ s insurance carrier to make sure you have protection against loss or damage .
Housing and Dining,Are there storage facilities available on campus ?,"No . Stevens does not have storage facilities . There are a variety of storage facilities in Hoboken that store items , should you wish to rent storage space . There are many company that will even pick up your belongings and store them for you.Here are some suggested storage facilitiesCube Smart - 877.279.7585Extra Space - 855.891.5904Public Storage - 833.814.3593Click here for more information"
Housing and Dining,Are the mansion secured ?,"All residence hall exterior doors are locked 24 hours a day , seven days a week . The only students who have access to the building are those students who live in the building . We expect the residents of each building to maintain safety and security by not propping doors open or giving access to non-residents ."
